frame,class_id,conf,x1,y1,x2,y2
65, 3, 0.28, 0.598613, 0.311280, 0.670925, 0.428674
66, 17, 0.39, 0.294037, 0.388176, 0.452656, 0.546046
66, 6, 0.26, 0.063761, 0.499869, 0.234938, 0.796000
66, 12, 0.44, 0.492495, 0.542924, 1.311696, 1.542924
66, 3, 0.29, 0.588941, 0.311898, 0.683376, 0.424640
67, 17, 0.41, 0.294673, 0.388609, 0.469873, 0.552303
67, 12, 0.35, 0.492782, 0.544434, 1.284782, 1.544434
68, 17, 0.42, 0.296260, 0.383155, 0.483219, 0.561240
68, 17, 0.26, 0.551642, 0.449122, 0.813665, 0.678017
68, 12, 0.34, 0.445036, 0.491794, 1.268633, 1.491794
69, 17, 0.29, 0.289504, 0.385129, 0.483963, 0.562070
69, 12, 0.31, 0.548084, 0.496846, 1.061889, 1.251927
69, 3, 0.25, 0.582282, 0.310502, 0.692191, 0.423520
70, 12, 0.34, 0.547892, 0.446728, 1.114339, 1.212462
70, 3, 0.39, 0.582678, 0.310192, 0.694101, 0.423774
71, 17, 0.26, 0.067618, 0.499252, 0.250213, 0.800010
71, 12, 0.36, 0.492402, 0.544373, 1.342814, 1.544373
71, 3, 0.44, 0.585359, 0.310427, 0.695304, 0.424803
71, 3, 0.27, 0.833773, 0.717764, 1.137030, 1.209182
72, 17, 0.36, 0.293638, 0.385359, 0.457939, 0.550334
72, 17, 0.26, 0.068320, 0.497446, 0.224500, 0.826149
72, 12, 0.43, 0.495092, 0.493958, 1.304142, 1.493958
72, 3, 0.36, 0.591769, 0.311950, 0.683791, 0.430189
73, 17, 0.29, 0.292900, 0.385418, 0.453039, 0.549319
73, 12, 0.47, 0.493563, 0.494466, 1.356834, 1.494466
73, 3, 0.38, 0.592809, 0.319166, 0.684892, 0.446803
74, 17, 0.30, 0.294358, 0.382454, 0.458379, 0.548683
74, 12, 0.46, 0.493839, 0.493501, 1.313478, 1.493501
75, 17, 0.35, 0.296070, 0.385526, 0.462802, 0.556972
75, 12, 0.46, 0.494119, 0.493836, 1.268859, 1.493836
76, 17, 0.33, 0.297962, 0.384136, 0.462713, 0.562838
76, 17, 0.29, 0.067113, 0.496063, 0.244700, 0.802021
76, 12, 0.42, 0.493806, 0.494306, 1.276435, 1.494306
76, 3, 0.25, 0.588953, 0.311769, 0.691061, 0.425488
77, 17, 0.29, 0.070311, 0.497936, 0.229885, 0.834022
77, 12, 0.42, 0.445475, 0.494662, 1.352800, 1.494662
77, 3, 0.44, 0.588618, 0.311092, 0.695984, 0.428917
78, 17, 0.29, 0.069040, 0.498954, 0.248924, 0.805823
78, 12, 0.43, 0.447414, 0.494282, 1.321692, 1.494282
78, 3, 0.43, 0.589447, 0.310697, 0.699490, 0.428297
79, 17, 0.28, 0.070437, 0.499671, 0.228704, 0.836507
79, 6, 0.26, 0.068165, 0.498896, 0.250427, 0.804607
79, 12, 0.51, 0.446429, 0.492985, 1.343646, 1.492985
79, 3, 0.45, 0.590437, 0.310503, 0.700171, 0.429168
80, 6, 0.25, 0.066620, 0.500280, 0.245168, 0.807018
80, 12, 0.56, 0.446413, 0.492641, 1.377582, 1.492641
80, 3, 0.41, 0.589997, 0.309873, 0.702062, 0.428801
81, 17, 0.27, 0.065804, 0.496728, 0.241970, 0.785052
81, 12, 0.57, 0.446583, 0.494320, 1.387360, 1.494320
81, 12, 0.26, 0.550695, 0.451898, 1.106957, 1.259714
81, 3, 0.45, 0.593741, 0.308325, 0.705015, 0.428795
82, 17, 0.28, 0.066858, 0.494663, 0.212062, 0.830092
82, 12, 0.59, 0.445953, 0.493764, 1.365795, 1.493764
82, 12, 0.26, 0.550465, 0.450498, 1.099011, 1.271761
82, 3, 0.33, 0.595879, 0.307613, 0.702368, 0.429798
